Fiyat,Ürün Adı,Kullanım Amaç,İşletim Sistemi,Ekran Boyutu,Ekran Çözünürlüğü,Ekran Hızı,İşlemci Markası,İşlemci Serisi,RAM,SSD Var mı,SSD Kapasitesi,GPU Modeli,GPU Var mı,USB 3.0 Var mı,USB 3.0 Adet,USB-C Var mı,USB-C Adet,HDMI Var mı,Pil Gücü,Pil Hücre Sayısı
"134.999,00",Monster Semruk S7 V9.3.3 Notebook,Oyun,Windows 11 Pro,17 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,64 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4090 175W,Var,2,Var,3,Var,99.0 Wh,4 Hücreli
"138.999,00",Monster Semruk S7 V9.3.2 Notebook,Oyun,FreeDOS,17 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,64 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4090 175W,Var,2,Var,3,Var,99.0 Wh,4 Hücreli
"128.186,26",MSI Vector GP78HX 13VI-273TR Notebook,Oyun,Windows 11 Home,17 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4090 175W,Var,2,Var,3,Var,90.0 Wh,4 Hücreli
"173.279,00",MSI CreatorPro X17HX A13VKS-211TR Notebook,Oyun,Windows 11 Pro,17.3 İnç,3840 x 2160 Piksel,144 Hz,Intel,Intel Core i9,64 GB,Var,4 TB,Var,NVIDIA RTX 3500 Ada Generation 140W,Var,3,Var,2,Var,99.0 Wh,4 Hücreli
"148.499,01",Asus ROG Strix Scar 18 G834JY-N6040W Notebook,Oyun,Windows 11 Home,18 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4090 175W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"106.899,00",Casper Excalibur G911.1390-EX90X-C Notebook,Oyun,FreeDOS,16 İnç,2560 x 1440 Piksel,165 Hz,Intel,Intel Core i9,64 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4090,Var,3,Var,1,Var,64 Wh,4 Hücreli
"125.999,00",Monster Semruk S7 V9.3.1 Notebook,Oyun,Windows 11 Pro,17 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,1 TB,Var,NVIDIA GeForce RTX 4090 175W,Var,2,Var,3,Var,99.0 Wh,4 Hücreli
"120.999,00",Asus ROG Strix Scar 18 G834JY-N6035 Notebook,Oyun,FreeDOS,18 İnç,2560 x 1600 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4090 175W,Var,2,Var,2,Var,90.0 Wh,4 Hücreli
"124.499,00",HP OMEN 17-ck2000nt (7P6D3EA) Notebook,Oyun,Windows 11 Home,17.3 İnç,2560 x 1440 Piksel,240 Hz,Intel,Intel Core i9,32 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4090,Var,3,Var,1,Var,83.0 Wh,6 Hücreli
"95.597,67",Asus ROG Strix Scar 17 G733PZ-LL062A5 Notebook,Oyun,FreeDOS,17.3 İnç,2560 x 1440 Piksel,240 Hz,AMD,AMD Ryzen 9,64 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4080 175W,Var,2,Var,2,Var,90 Wh,4 Hücreli
"113.999,00",MSI Creator Z17 HX Studio A13VGT-036TR Notebook,İş/Mobil,Windows 11 Pro,17 İnç,2560 x 1600 Piksel,165 Hz,Intel,Intel Core i9,64 GB,Var,2 TB,Var,NVIDIA GeForce RTX 4070 90W,Var,1,Var,2,Var,90.0 Wh,4 Hücreli
