Fiyat,Kullanım Amaç,Ekran Boyutu,Ekran Çözünürlüğü,Ekran Hızı,RAM,SSD Kapasitesi,USB 3.0 Adet,USB-C Adet,HDMI Var mı,Pil Gücü,Pil Hücre Sayısı,FreeDOS,Windows,macOS,AMD,Apple,Intel,AMD Ryzen 5,AMD Ryzen 7,Apple M2 Max,Intel Core i5,Intel Core i7,Intel Core i9,Intel Xeon W
134999.0,1,17.0,4096000.0,240,64,2048.0,2,3,0,99.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
138999.0,1,17.0,4096000.0,240,64,2048.0,2,3,0,99.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
128186.26,1,17.0,4096000.0,240,32,2048.0,2,3,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
173279.0,1,17.3,8294400.0,144,64,4096.0,3,2,0,99.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
148499.01,1,18.0,4096000.0,240,32,2048.0,2,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
106899.0,1,16.0,3686400.0,165,64,2048.0,3,1,0,64.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
125999.0,1,17.0,4096000.0,240,32,1024.0,2,3,0,99.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
120999.0,1,18.0,4096000.0,240,32,2048.0,2,2,0,90.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
124499.0,1,17.3,3686400.0,240,32,2048.0,3,1,0,83.0,6.0,0,1,0,0,0,1,0,0,0,0,0,1,0
95597.67,1,17.3,3686400.0,240,64,2048.0,2,2,0,90.0,4.0,1,0,0,1,0,0,0,0,0,0,0,0,0
113999.0,0,17.0,4096000.0,165,64,2048.0,1,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
128899.0,1,17.0,4096000.0,240,32,1024.0,2,3,0,99.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
102334.02,1,17.3,3686400.0,240,32,2048.0,3,1,0,83.0,6.0,1,0,0,0,0,1,0,0,0,0,0,1,0
91108.0,1,16.0,4096000.0,240,32,1024.0,2,3,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
93968.21,1,17.3,3686400.0,240,64,1024.0,2,2,0,90.0,4.0,1,0,0,1,0,0,0,0,0,0,0,0,0
81389.0,1,17.0,4096000.0,240,32,2048.0,2,3,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
97776.51,1,17.3,3686400.0,240,64,1024.0,2,2,0,90.0,4.0,0,1,0,1,0,0,0,0,0,0,0,0,0
153647.5,1,17.3,3686400.0,240,64,4096.0,3,1,0,83.0,6.0,0,1,0,0,0,1,0,0,0,0,0,1,0
149767.49,1,17.3,3686400.0,240,64,4096.0,3,1,0,83.0,6.0,0,1,0,0,0,1,0,0,0,0,0,1,0
134999.0,1,16.0,4096000.0,240,32,1024.0,4,2,0,99.9,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
149282.5,1,17.3,3686400.0,240,64,2048.0,3,1,0,83.0,6.0,0,1,0,0,0,1,0,0,0,0,0,1,0
105199.0,1,16.0,3686400.0,165,64,1024.0,3,1,0,64.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
87499.0,1,16.0,4096000.0,240,32,1024.0,2,3,0,90.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
132956.0,0,17.0,4096000.0,165,64,2048.0,1,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
89999.0,1,18.0,4096000.0,240,32,1024.0,2,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
105852.0,1,16.0,4096000.0,240,32,1024.0,2,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
94999.0,1,17.0,4096000.0,240,64,2048.0,2,3,0,99.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
145887.5,1,17.3,3686400.0,240,64,4096.0,3,1,0,83.0,6.0,1,0,0,0,0,1,0,0,0,0,0,1,0
94281.0,1,18.0,4096000.0,240,64,1024.0,2,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
144999.0,1,18.0,4096000.0,240,16,2048.0,2,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
92497.03,1,17.3,3686400.0,240,32,2048.0,2,2,0,90.0,4.0,1,0,0,1,0,0,0,0,0,0,0,0,0
193859.33,0,16.0,4096000.0,165,128,2048.0,2,3,0,94.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
109825.25,1,16.0,4096000.0,240,64,2048.0,2,2,0,90.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
141716.5,1,17.3,3686400.0,240,64,2048.0,3,1,0,83.0,6.0,1,0,0,0,0,1,0,0,0,0,0,1,0
127999.0,1,16.0,4096000.0,240,32,1024.0,4,2,0,99.9,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
90051.0,1,18.0,4096000.0,240,32,2048.0,2,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
93499.0,1,17.0,4096000.0,240,32,2048.0,2,3,0,90.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
94999.0,1,17.3,3686400.0,240,32,1024.0,3,1,0,83.0,6.0,1,0,0,0,0,1,0,0,0,0,0,1,0
97899.0,1,17.0,4096000.0,240,64,2048.0,2,3,0,99.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
118155.08,0,16.0,4096000.0,120,32,2048.0,1,1,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
89999.0,1,18.0,4096000.0,240,32,1024.0,2,2,0,90.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
101099.0,1,17.3,3686400.0,165,32,1024.0,3,1,0,83.0,6.0,1,0,0,0,0,1,0,0,0,0,0,1,0
92999.0,1,16.0,4096000.0,240,32,1024.0,2,2,0,90.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
193114.39,0,16.0,9216000.0,165,128,1024.0,2,3,0,94.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
89487.0,1,18.0,4096000.0,240,64,1024.0,2,2,0,90.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
87999.0,1,17.3,3686400.0,240,16,1024.0,2,2,0,90.0,4.0,0,1,0,1,0,0,0,0,0,0,0,0,0
106999.0,1,18.0,4096000.0,165,32,1024.0,3,3,0,97.0,6.0,0,1,0,0,0,1,0,0,0,0,0,1,0
85692.0,1,17.0,4096000.0,240,32,2048.0,2,3,0,99.0,4.0,0,1,0,0,0,1,0,0,0,0,1,0,0
87701.0,1,18.0,4096000.0,240,32,2048.0,2,2,0,90.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
107916.46,1,16.0,4096000.0,240,64,1024.0,2,2,0,90.0,4.0,1,0,0,0,0,1,0,0,0,0,0,1,0
149476.49,1,17.3,3686400.0,240,32,4096.0,3,1,0,83.0,6.0,0,1,0,0,0,1,0,0,0,0,0,1,0
94666.56,1,17.3,3686400.0,240,32,1024.0,2,2,0,90.0,4.0,0,1,0,1,0,0,0,0,0,0,0,0,0
145693.49,1,17.3,3686400.0,240,32,4096.0,3,1,0,83.0,6.0,0,1,0,0,0,1,0,0,0,0,0,1,0
112432.45,1,16.0,4096000.0,240,64,1024.0,2,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
157120.0,1,16.0,4096000.0,240,32,2048.0,2,2,0,90.0,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0
